Pomiar,dzien_tygodnia,miesiac,dzien_roku,weekend,rolling_mean_7,rolling_mean_14,rolling_mean_30,rolling_median_7,rolling_median_14,rolling_median_30,rolling_std_7,rolling_std_14,rolling_std_30,expanding_mean,expanding_median,expanding_std,nested_mean_7_std_7,nested_mean_7_std_14,nested_mean_7_std_30,nested_mean_14_std_7,nested_mean_14_std_14,nested_mean_14_std_30,nested_mean_30_std_7,nested_mean_30_std_14,nested_mean_30_std_30,nested_std_7_mean_7,nested_std_7_mean_14,nested_std_7_mean_30,nested_std_14_mean_7,nested_std_14_mean_14,nested_std_14_mean_30,nested_std_30_mean_7,nested_std_30_mean_14,nested_std_30_mean_30,lag_1,lag_2,lag_3,trend,seasonality,residual
4.934921,6,1,1,True,,,,,,,,,,4.934921,4.934921,,,,,,,,,,,,,,,,,,,,,,,,4.952873546818182,
10.341562,7,1,2,True,,,,,,,,,,7.6382414999999995,7.6382414999999995,3.8230725145412165,,,,,,,,,,,,,,,,,,,4.934921,,,,0.8345951149999997,
5.007348,1,1,3,False,,,,,,,,,,6.761277,5.007348,3.1008292323991333,,,,,,,,,,,,,,,,,,,10.341562,4.934921,,,-2.4795028501515146,
9.688094,2,1,4,False,,,,,,,,,,7.49298125,7.347721,2.924321982421381,,,,,,,,,,,,,,,,,,,5.007348,10.341562,4.934921,,-0.8133231440909086,
5.914476,3,1,5,False,,,,,,,,,,7.1772802,5.914476,2.62908350143357,,,,,,,,,,,,,,,,,,,9.688094,5.007348,10.341562,,1.0410463331818185,
6.005189,4,1,6,False,,,,,,,,,,6.981931666666667,5.959832499999999,2.3997146377978082,,,,,,,,,,,,,,,,,,,5.914476,9.688094,5.007348,,-3.473558754696969,
13.716152,5,1,7,False,7.943963142857143,,,6.005189,,,3.358182625665179,,,7.943963142857143,6.005189,3.358182625665179,,,,,,,,,,,,,,,,,,,6.005189,5.914476,9.688094,,-0.8797929774242418,
19.322357,6,1,8,True,9.999311142857142,,,9.688094,,,5.139822753541942,,,9.366262375,7.8466415,5.084271393314735,,,,,,,,,,,,,,,,,,,13.716152,6.005189,5.914476,,-2.0380204183333324,
33.909314,7,1,9,True,13.366132857142857,,,9.688094,,,10.414167828938846,,,12.093268111111112,9.688094,9.46296101724058,,,,,,,,,,,,,,,,,,,19.322357,13.716152,6.005189,,-3.1979208198484845,
43.070916,1,1,10,False,18.803785428571427,,,13.716152,,,14.469840751709809,,,15.1910329,10.014828,13.249881557398092,,,,,,,,,,,,,,,,,,,33.909314,19.322357,13.716152,,1.7666766528787887,
63.970798,2,1,11,False,26.558457428571426,,,19.322357,,,21.57265390060844,,,19.625557,10.341562,19.347311675911442,,,,,,,,,,,,,,,,,,,43.070916,33.909314,19.322357,,-1.277069031969697,
31.368494,3,1,12,False,30.194745714285713,,,31.368494,,,19.564767282925267,,,20.604135083333333,12.028856999999999,18.75582304597791,,,,,,,,,,,,,,,,,,,63.970798,43.070916,33.909314,,-2.3389377850000006,
10.032802,4,1,13,False,30.770118999999998,,,31.368494,,,18.77823497380732,,,19.790955615384615,10.341562,18.19511512191977,9.599866172913528,,,,,,,,,13.328238588170972,,,,,,,,,31.368494,63.970798,43.070916,,0.3383241422727272,
10.323119,5,1,14,False,30.2854,19.114681571428573,,31.368494,10.3323405,,19.32757099495134,17.66348613038769,,19.114681571428573,10.3323405,17.66348613038769,8.728946911214447,,,,,,,,,15.60957978378328,,,,,,,,,10.032802,31.368494,63.970798,,0.7690693028787876,
13.733921,6,1,15,True,29.487052,19.743181571428575,,31.368494,12.028856999999999,,19.960926965587753,17.272344396981456,,18.7559642,10.341562,17.077566867631074,6.851624610729047,,,,,,,,,17.72688038550411,,,,,,,,,10.323119,10.032802,31.368494,,-1.7442658456060611,
19.630789,7,1,16,True,27.44726271428571,20.40669778571429,,19.630789,13.7250365,,20.162241809757877,17.060523667169683,,18.81064075,12.028856999999999,16.49994656089634,4.203550977620055,,,,,,,,,19.11946238276397,,,,,,,,,13.733921,10.323119,10.032802,14.061552366666668,0.6512566565404039,4.917979976792928
4.735347,1,1,17,False,21.97075285714286,20.387269142857143,,13.733921,13.7250365,,20.41602075447865,17.07955380967949,,17.982682294117648,10.341562,16.33666061989868,3.124831844252318,,,,,,,,,19.96891666887381,,,,,,,,,19.630789,13.733921,10.323119,14.178874216666665,-1.566615928181818,-7.876911288484848
7.674305,2,1,18,False,13.928396714285714,20.243427071428574,,10.323119,13.7250365,,9.023225621638128,17.184748379728244,,17.409994666666666,10.3323405,16.034049882265105,6.24909119074737,,,,,,,,,18.176141200449475,,,,,,,,,4.735347,19.630789,13.733921,14.15075335,1.6921816593181822,-8.168630009318182
12.264329,3,1,19,False,11.199230285714284,20.696988,,10.323119,13.7250365,,4.743157984096334,16.85816310226307,,17.139170157894736,10.341562,15.626948142436243,8.119273900015742,,,,,,,,,16.058768443473916,,,,,,,,,7.674305,4.735347,19.630789,14.192787866666666,5.047591581540404,-6.97605044820707
3.973222,4,1,20,False,10.333576000000003,20.5518475,,10.323119,13.7250365,,5.486262014879369,17.002511334941406,,16.48087275,10.3323405,15.492446767082136,8.75410109698503,8.841621290537812,,0.5519234563054389,,,,,,14.159915163627064,13.744076875899017,,17.16019011730729,,,,,,12.264329,7.674305,4.735347,14.392375133333331,3.843146498207071,-14.262299631540403
4.190932,5,1,21,False,9.457549285714284,19.871474642857144,,7.674305,12.999125,,5.957550275467549,17.480939540662018,,15.895637476190476,10.323119,15.336479984965882,8.4741707630484,8.688641164269788,,0.34910466696740877,,,,,,12.249912203700807,13.929745993742046,,17.134112033060767,,,,,,3.973222,12.264329,7.674305,14.516065349999998,-0.43122117590909115,-9.893912174090907
5.733206,6,1,22,True,8.31459,18.900821,,5.733206,11.293724000000001,,5.76473934186446,17.886352694004238,,15.433708772727272,10.177960500000001,15.122882474829513,7.251676715332993,8.851986272047954,,0.6095914572415428,,,,,,10.221885400311766,13.97438289290794,,17.22182750406402,,,,,,4.190932,3.973222,12.264329,14.359132649999998,-0.8767219819696966,-7.7492046680303
15.78446,7,1,23,True,7.765114428571429,17.60618857142857,,5.733206,11.293724000000001,,4.564764547815528,17.36480256377563,,15.448958826086956,10.323119,14.775364537490528,4.905466270240464,9.297588428373592,,1.1196061246056528,,,,,,7.993674362891432,13.556568372827702,,17.265295917864872,,,,,,5.733206,4.190932,3.973222,14.006854899999999,-1.5034785410606066,3.281083641060607
27.958402,1,1,24,False,11.082693714285714,16.526723285714287,,7.674305,11.293724000000001,,8.62716154860273,16.08242071963192,,15.970185625,10.3323405,14.674462659958325,2.0682031169363517,9.582729996865611,,1.6012616591017603,,,,,,6.309551619194871,13.139234144034338,,17.12284833357236,,,,,,15.78446,5.733206,4.190932,13.364890633333331,1.5981565922727268,12.995354774393942
7.365961,2,1,25,False,11.038644571428572,12.483520642857144,,7.365961,10.177960500000001,,8.648226258092881,8.622376275383896,,15.62601664,10.323119,14.46819503887077,1.4045522635400325,9.563626119786479,,2.909715688740831,,,,,,6.255980281545551,12.216060740997515,,15.899652318666027,,,,,,27.958402,15.78446,5.733206,12.37186695,0.14302797863636316,-5.148933928636362
6.712761,3,1,26,False,10.245563428571428,10.722396857142858,,6.712761,8.8535535,,8.77077559215857,6.792119271405944,,15.283199115384615,10.177960500000001,14.283246872131752,1.2979791950428412,9.096259954249081,,3.743710452031161,,,,,,6.831354225554441,11.445061334514179,,14.461646057115006,,,,,,7.365961,27.958402,15.78446,10.873583283333332,-1.940071036515151,-2.2207512468181805
8.055299,4,1,27,False,10.828717285714285,10.581146642857144,,7.365961,7.864802,,8.41262483068171,6.828030697911761,,15.015499111111112,10.032802,14.074781268204404,1.3477315536962153,8.23871850767581,,3.9119151878966827,3.704745075156442,,,,,7.249406056383346,10.704660610005204,,13.00814882325363,15.08416947028046,,,,,6.712761,7.365961,27.958402,9.5271002,-0.7074501319696979,-0.764351068030302
1.705395,5,1,28,False,10.473640571428572,9.96559492857143,,7.365961,7.520133,,8.783752035903044,7.229713133637043,,14.54013825,9.860448,14.038858677810722,1.3570025186313592,7.075318583417948,,3.746196765734628,4.20910195632701,,,,,7.653149165016989,9.9515306843589,,11.543687907964346,14.338899970512557,,,,,8.055299,6.712761,7.365961,9.101657649999996,0.09115017560606109,-7.487412825606057
6.984887,6,1,29,True,10.652452142857143,9.483521071428571,,7.365961,7.175424,,8.683333321935459,7.183981012552877,,14.279612344827587,9.688094,13.857091290742922,1.1561937690948112,5.479117666297819,,3.2825221735482866,4.580696316031289,,,,,8.07009116216999,9.145988281240879,,10.014777667757011,13.618302585910515,,,,,1.705395,8.055299,6.712761,9.234107583333333,0.48159266045454574,-2.7308132437878796
3.828081,7,1,30,True,8.944398000000001,8.354756214285713,13.931227966666667,6.984887,6.8488240000000005,8.871696499999999,8.681532695365236,6.691579070872346,13.749137615994446,13.931227966666667,8.871696499999999,13.749137615994446,0.7346747656043707,3.445678324716847,,2.682864464977411,4.875803648357305,,,,,8.658200897534233,8.325937630212831,,8.490031454485113,12.877663686174992,,,,,6.984887,1.705395,8.055299,9.487520833333335,2.017261527121212,-7.676701360454547
12.754385,1,1,31,False,6.772395571428571,8.927544642857143,14.191876766666667,6.984887,7.175424,9.860448,3.4682981086859015,6.701133051263297,13.646444600428682,13.89326529032258,9.688094,13.519695575446697,1.519421493460077,1.7588092731848761,,1.361003428985085,4.945583144593358,,,,,7.921220406117542,7.115386012656207,,7.149847501861024,12.136347917716693,,,,,3.828081,6.984887,1.705395,9.660794,4.952873546818182,-1.8592825468181822
9.561409,2,2,32,False,7.086030999999999,9.062337785714286,14.165871666666668,6.984887,7.175424,9.624751499999999,3.626574516368844,6.692959561310003,13.654775691946039,13.75789478125,9.624751499999999,13.321875808671104,1.7249725953564632,1.5427925532603346,,0.8812919088838895,4.8728138882651315,,,,,7.203841585871252,6.7299109337084015,,6.87421654270761,11.386934430686818,,,,,12.754385,3.828081,6.984887,9.811376783333332,0.8345951149999997,-1.084562898333332
4.100249,3,2,33,False,6.712815,8.479189214285714,14.135635033333333,6.984887,6.8488240000000005,9.624751499999999,3.801595908665366,6.747950718854877,13.676741965604904,13.46523884848485,9.561409,13.219407349628302,1.9049063569020657,1.6443764210343499,,0.8033074350742286,4.638382983643126,,,,,6.4939587739436515,6.662656499749046,,6.867906749486029,10.664776403300518,,,,,9.561409,12.754385,3.828081,9.802911799999999,-2.4795028501515146,-3.223159949848484
13.117264,4,2,34,False,7.4359528571428575,9.132335071428571,14.2499407,6.984887,7.175424,9.7971055,4.514181245382901,6.720740056462666,13.65259775429115,13.455004294117646,9.624751499999999,13.017709274281625,1.7198329268145225,1.6814539360180634,,0.5563172850036294,4.183444322297842,,,,,5.937038261758106,6.593222159070727,,6.852579514993301,9.930364169123465,,,,,4.100249,9.561409,12.754385,9.62935028333333,-0.8133231440909086,4.301236860757578
14.460542,5,2,35,False,9.258116714285714,9.865878642857142,14.534809566666667,9.561409,7.71063,10.177960500000001,4.388063075225424,6.700330807836844,13.561531816108708,13.483733942857143,9.688094,12.82596989117089,1.5122502614743272,1.678650108619555,,0.5298477542942337,3.5729471575420306,,,,,5.309082695947018,6.481115930482004,,6.776953468450415,9.160320688207381,,,,,13.117264,4.100249,9.561409,9.545898266666663,1.0410463331818185,3.8735974001515183
4.880536,6,2,36,True,8.957495142857143,9.804973642857144,14.497321133333333,9.561409,7.71063,10.177960500000001,4.634896827054843,6.7445154605862925,13.587453163184518,13.244756222222222,9.624751499999999,12.72247299217635,1.1261890147307592,1.6659169091825192,8.24814033768774,0.5853483500630794,2.868513522660034,,0.2110162013868709,,,4.730734625249788,6.4004128937098885,9.791504879728556,6.714172675312333,8.36447517153467,,13.646954658222636,,,14.460542,13.117264,4.100249,9.5510428,-3.473558754696969,-1.1969480453030301
5.424843,7,2,37,True,9.185604,9.065000999999999,14.220944166666667,9.561409,7.175424,9.7971055,4.372225172289266,6.604868883330857,13.687844755946763,13.033407216216215,9.561409,12.6102300602411,1.1670947488608296,1.621716345334787,8.2185004416457,0.49064233649172,2.1157867007252196,,0.16227060608838648,,,4.115119264810364,6.386660081172299,9.82530629794936,6.7017855056635485,7.59590848007433,,13.638198535358681,,,4.880536,14.460542,13.117264,9.509314766666664,-0.8797929774242418,-3.2046787892424224
6.477001,1,2,38,False,8.288834857142858,7.530615214285715,13.792765633333335,6.477001,6.8488240000000005,8.808354,4.1567031379003225,3.7610574910161065,13.723626575342951,12.860870210526317,8.808354,12.484043564849149,1.0548995514155532,1.5409185298902637,8.255110773551817,0.8013716344627324,1.2111401803999486,,0.2479976800971128,,,4.213462840412424,6.067341623264984,9.792535644094638,6.281774711342521,6.715811106601772,,13.649224531775006,,,5.424843,4.880536,14.460542,9.287663349999999,-2.0380204183333324,-0.7726419316666671
