Number of Cyc., xdisp_rel (FISH), xdisp_meas (FISH)
3430, 1.5796732E-003, 1.0200000E-001
3440, 1.5972281E-003, 1.0200000E-001
3450, 1.6161404E-003, 1.0200000E-001
3460, 1.6350913E-003, 1.0200000E-001
3470, 1.6541015E-003, 1.0200000E-001
3480, 1.6714123E-003, 1.0200000E-001
3490, 1.6888447E-003, 1.0200000E-001
3500, 1.7075347E-003, 1.0200000E-001
3510, 1.7260007E-003, 1.0200000E-001
3520, 1.7453932E-003, 1.0200000E-001
3530, 1.7646243E-003, 1.0200000E-001
3540, 1.7832892E-003, 1.0200000E-001
3550, 1.8005989E-003, 1.0200000E-001
3560, 1.8169864E-003, 1.0200000E-001
3570, 1.8323802E-003, 1.0200000E-001
3580, 1.8477924E-003, 1.0200000E-001
3590, 1.8619584E-003, 1.0200000E-001
3600, 1.8765617E-003, 1.0200000E-001
3610, 1.8926530E-003, 1.0200000E-001
3620, 1.9106417E-003, 1.0200000E-001
3630, 1.9277657E-003, 1.0200000E-001
3640, 1.9461234E-003, 1.0200000E-001
3650, 1.9658245E-003, 1.0200000E-001
3660, 1.9865229E-003, 1.0200000E-001
3670, 2.0074618E-003, 1.0200000E-001
3680, 2.0281547E-003, 1.0200000E-001
3690, 2.0487318E-003, 1.0200000E-001
3700, 2.0687959E-003, 1.0200000E-001
3710, 2.0879570E-003, 1.0200000E-001
3720, 2.1068923E-003, 1.0200000E-001
3730, 2.1248015E-003, 1.0200000E-001
3740, 2.1412374E-003, 1.0200000E-001
3750, 2.1573191E-003, 1.0200000E-001
3760, 2.1732258E-003, 1.0200000E-001
3770, 2.1895819E-003, 1.0200000E-001
3780, 2.2064619E-003, 1.0200000E-001
3790, 2.2234565E-003, 1.0200000E-001
3800, 2.2413294E-003, 1.0200000E-001
3810, 2.2602764E-003, 1.0200000E-001
3820, 2.2788928E-003, 1.0200000E-001
3830, 2.2984189E-003, 1.0200000E-001
3840, 2.3182746E-003, 1.0200000E-001
3850, 2.3376217E-003, 1.0200000E-001
3860, 2.3567075E-003, 1.0200000E-001
3870, 2.3758554E-003, 1.0200000E-001
3880, 2.3947966E-003, 1.0200000E-001
3890, 2.4132868E-003, 1.0200000E-001
3900, 2.4330603E-003, 1.0200000E-001
3910, 2.4508168E-003, 1.0200000E-001
3920, 2.4692915E-003, 1.0200000E-001
3930, 2.4886120E-003, 1.0200000E-001
3940, 2.5076222E-003, 1.0200000E-001
3950, 2.5260706E-003, 1.0200000E-001
3960, 2.5437368E-003, 1.0200000E-001
3970, 2.5619469E-003, 1.0200000E-001
3980, 2.5817852E-003, 1.0200000E-001
3990, 2.6020184E-003, 1.0200000E-001
4000, 2.6232268E-003, 1.0200000E-001
4010, 2.6436856E-003, 1.0200000E-001
4020, 2.6648745E-003, 1.0200000E-001
4030, 2.6861000E-003, 1.0200000E-001
4040, 2.7065377E-003, 1.0200000E-001
4050, 2.7268983E-003, 1.0200000E-001
4060, 2.7479570E-003, 1.0200000E-001
4070, 2.7692722E-003, 1.0200000E-001
4080, 2.7913644E-003, 1.0200000E-001
4090, 2.8137953E-003, 1.0200000E-001
4100, 2.8367691E-003, 1.0200000E-001
4110, 2.8599826E-003, 1.0200000E-001
4120, 2.8829366E-003, 1.0200000E-001
4130, 2.9052291E-003, 1.0200000E-001
4140, 2.9264818E-003, 1.0200000E-001
4150, 2.9469890E-003, 1.0200000E-001
4160, 2.9677415E-003, 1.0200000E-001
4170, 2.9874051E-003, 1.0200000E-001
4180, 3.0078391E-003, 1.0200000E-001
4190, 3.0270976E-003, 1.0200000E-001
4200, 3.0455076E-003, 1.0200000E-001
4210, 3.0635053E-003, 1.0200000E-001
4220, 3.0823109E-003, 1.0200000E-001
4230, 3.1008152E-003, 1.0200000E-001
4240, 3.1185627E-003, 1.0200000E-001
4250, 3.1349289E-003, 1.0200000E-001
4260, 3.1501722E-003, 1.0200000E-001
4270, 3.1657557E-003, 1.0200000E-001
4280, 3.1819764E-003, 1.0200000E-001
4290, 3.1990808E-003, 1.0200000E-001
4300, 3.2170036E-003, 1.0200000E-001
4310, 3.2357455E-003, 1.0200000E-001
4320, 3.2551528E-003, 1.0200000E-001
4330, 3.2754749E-003, 1.0200000E-001
4340, 3.2962533E-003, 1.0200000E-001
4350, 3.3175562E-003, 1.0200000E-001
4360, 3.3389717E-003, 1.0200000E-001
4370, 3.3599121E-003, 1.0200000E-001
4380, 3.3809175E-003, 1.0200000E-001
4390, 3.4025046E-003, 1.0200000E-001
4400, 3.4247361E-003, 1.0200000E-001
4410, 3.4478961E-003, 1.0200000E-001
4420, 3.4710626E-003, 1.0200000E-001
4430, 3.4952740E-003, 1.0200000E-001
4440, 3.5196990E-003, 1.0200000E-001
4450, 3.5452942E-003, 1.0200000E-001
4460, 3.5723522E-003, 1.0200000E-001
4470, 3.5991309E-003, 1.0200000E-001
4480, 3.6236347E-003, 1.0200000E-001
4490, 3.6461728E-003, 1.0200000E-001
4500, 3.6662443E-003, 1.0200000E-001
4510, 3.6847186E-003, 1.0200000E-001
4520, 3.7036691E-003, 1.0200000E-001
4530, 3.7224124E-003, 1.0200000E-001
4540, 3.7416493E-003, 1.0200000E-001
4550, 3.7600346E-003, 1.0200000E-001
4560, 3.7776941E-003, 1.0200000E-001
4570, 3.7940316E-003, 1.0200000E-001
4580, 3.8102616E-003, 1.0200000E-001
4590, 3.8264927E-003, 1.0200000E-001
4600, 3.8433435E-003, 1.0200000E-001
4610, 3.8609889E-003, 1.0200000E-001
4620, 3.8790025E-003, 1.0200000E-001
4630, 3.8977174E-003, 1.0200000E-001
4640, 3.9173485E-003, 1.0200000E-001
4650, 3.9377389E-003, 1.0200000E-001
4660, 3.9585866E-003, 1.0200000E-001
4670, 3.9796157E-003, 1.0200000E-001
4680, 4.0014813E-003, 1.0200000E-001
4690, 4.0235793E-003, 1.0200000E-001
4700, 4.0464237E-003, 1.0200000E-001
4710, 4.0704877E-003, 1.0200000E-001
4720, 4.0945643E-003, 1.0200000E-001
4730, 4.1204757E-003, 1.0200000E-001
4740, 4.1464525E-003, 1.0200000E-001
4750, 4.1719363E-003, 1.0200000E-001
4760, 4.1969915E-003, 1.0200000E-001
4770, 4.2202026E-003, 1.0200000E-001
4780, 4.2415328E-003, 1.0200000E-001
4790, 4.2611972E-003, 1.0200000E-001
4800, 4.2808127E-003, 1.0200000E-001
4810, 4.3007835E-003, 1.0200000E-001
4820, 4.3215112E-003, 1.0200000E-001
4830, 4.3441994E-003, 1.0200000E-001
4840, 4.3661411E-003, 1.0200000E-001
4850, 4.3871263E-003, 1.0200000E-001
4860, 4.4070935E-003, 1.0200000E-001
4870, 4.4264679E-003, 1.0200000E-001
4880, 4.4456946E-003, 1.0200000E-001
4890, 4.4644895E-003, 1.0200000E-001
4900, 4.4831926E-003, 1.0200000E-001
4910, 4.5015173E-003, 1.0200000E-001
4920, 4.5201927E-003, 1.0200000E-001
4930, 4.5402687E-003, 1.0200000E-001
4940, 4.5599195E-003, 1.0200000E-001
4950, 4.5785074E-003, 1.0200000E-001
4960, 4.5981389E-003, 1.0200000E-001
4970, 4.6185728E-003, 1.0200000E-001
4980, 4.6392227E-003, 1.0200000E-001
4990, 4.6607031E-003, 1.0200000E-001
5000, 4.6841194E-003, 1.0200000E-001
5010, 4.7082355E-003, 1.0200000E-001
5020, 4.7329319E-003, 1.0200000E-001
5030, 4.7581022E-003, 1.0200000E-001
5040, 4.7835868E-003, 1.0200000E-001
5050, 4.8088053E-003, 1.0200000E-001
5060, 4.8341438E-003, 1.0200000E-001
5070, 4.8589732E-003, 1.0200000E-001
5080, 4.8818051E-003, 1.0200000E-001
5090, 4.9042702E-003, 1.0200000E-001
5100, 4.9246031E-003, 1.0200000E-001
5110, 4.9451230E-003, 1.0200000E-001
5120, 4.9657398E-003, 1.0200000E-001
