"","x"
"203",-9.5
"204",-15.4000005722046
"205",-20.5
"206",-11.8000001907349
"207",-7.09999990463257
"208",-2.29999995231628
"209",3.29999995231628
"210",8.69999980926514
"211",13.8000001907349
"212",9.10000038146973
"213",4.59999990463257
"214",0.400000005960464
"215",-3.70000004768372
"216",-13.5
"217",-13.4000005722046
"218",-16
"219",-10.9000005722046
"220",-4.80000019073486
"221",5.30000019073486
"222",10.1999998092651
"223",13.5
"224",8.40000057220459
"225",5.09999990463257
"226",-2.29999995231628
"227",-12.9000005722046
"228",-18
"229",-13.8000001907349
"230",-9.90000057220459
"231",-3.79999995231628
"232",-1.5
"233",5
"234",8.69999980926514
"235",12.4000005722046
"236",9.40000057220459
"237",7.30000019073486
"238",-0.200000002980232
"239",-6.09999990463257
"240",-12.6000003814697
"241",-15.5
"242",-12.5
"243",-6.30000019073486
"244",0.400000005960464
"245",4.70000028610229
"246",7.70000028610229
"247",10.3000001907349
"248",9.69999980926514
"249",4.80000019073486
"250",-2.29999995231628
"251",-11.8000001907349
"252",-13.1000003814697
"253",-18.7000007629395
"254",-15.4000005722046
"255",-10.6999998092651
"256",-3.70000004768372
"257",3.70000004768372
"258",9.80000019073486
"259",13
"260",9.90000057220459
"261",5.80000019073486
"262",-1.30000007152557
"263",-8.90000057220459
"264",-15.1000003814697
"265",-11.1000003814697
"266",-16.7000007629395
"267",-6.59999990463257
"268",-4.5
"269",1.89999997615814
"270",5.40000009536743
"271",11
"272",8.69999980926514
"273",5.30000019073486
"274",-1.20000004768372
"275",-9.19999980926514
"276",-14.6000003814697
"277",-14.4000005722046
"278",-16.6000003814697
"279",-12.1999998092651
"280",-4.30000019073486
"281",2.29999995231628
"282",7.30000019073486
"283",14
"284",12
"285",6.80000019073486
"286",1.89999997615814
"287",-6.40000009536743
"288",-9.10000038146973
"289",-7.59999990463257
"290",-11.6999998092651
"291",-12.1999998092651
"292",-1.5
"293",3.29999995231628
"294",9.19999980926514
"295",15.3000001907349
"296",10.9000005722046
"297",6
"298",-3.60000014305115
"299",-12.1000003814697
"300",-15.8000001907349
"301",-17.1000003814697
"302",-16.3999996185303
"303",-7.70000028610229
"304",-3
"305",2
"306",9.80000019073486
"307",12.3000001907349
"308",11.1999998092651
"309",4.90000009536743
"310",-4.90000009536743
"311",-7.5
"312",-14.9000005722046
"313",-15.9000005722046
"314",-11.1999998092651
"315",-8.30000019073486
"316",-4.30000019073486
"317",1.60000002384186
"318",8.69999980926514
"319",15.6000003814697
"320",11.6000003814697
"321",4.70000028610229
"322",-3
"323",-14.5
"324",-14.4000005722046
"325",-15
"326",-11.8000001907349
"327",-7.20000028610229
"328",-2.5
"329",2.40000009536743
"330",7.70000028610229
"331",9.30000019073486
"332",10
"333",5
"334",-1.80000007152557
"335",-9.40000057220459
"336",-13.9000005722046
"337",-14.6000003814697
"338",-16.6000003814697
"339",-6
"340",-6.5
"341",3.70000004768372
"342",8.5
"343",9.69999980926514
"344",8.60000038146973
"345",5.70000028610229
"346",-0.900000035762787
"347",-6.09999990463257
"348",-6.09999990463257
"349",-10.5
"350",-10.1999998092651
"351",-8.40000057220459
"352",-1.5
"353",4.90000009536743
"354",10.5
"355",14.6000003814697
"356",12.6000003814697
"357",3.90000009536743
"358",-0.300000011920929
"359",-8.80000019073486
"360",-10.3000001907349
"361",-16
"362",-15.6000003814697
