1.68243,1.29596e-06,21.1921,14.7757,8.331,15,25.995,4.83205,30.0795,6.56518,31.1107,14.85,15,19.8037,7.42636,15.8969,16.9802,15,26.344,4.93
5.53555,15,3.40878,15.9881,15,6.41869,4.58278,15,15,7.38569,20.8794,14.1167,28.5077,21.4876,39.6128,15,21.3989,24.9884,15,5.20355
15,7.46321,13.8377,10.6742,19.0793,7.93404,28.1876,14.702,13.6817,22.5626,0.483183,10.2673,8.64395,0.844934,15,23.0161,24.1616,19.0689,19.178,15
32.0758,11.8198,2.5441,15,22.0573,8.7021,6.21909,9.11903,16.4712,33.2703,24.0376,11.4164,15,30.8972,11.2904,5.93821,22.091,27.6734,32.3097,16.2936
28.6274,14.85,6.31861,42.1934,27.422,15,22.5782,16.904,16.847,31.1076,11.0608,15,13.922,0.00363637,15.0153,15,14.7015,30.5427,3.63182,15
42.3457,40.4045,15,4.66715,6.01311,41.8233,3.16303,9.23368,15,26.3294,15,14.9145,15.7614,31.7966,6.86588,14.8588,7.47818,26.0317,14.7015,4.32011
1.54891,13.4788,7.37544,16.3024,0.18813,9.46855,38.6524,2.71602,8.61167,16.6676,34.8208,9.56607,14.85,15,6.1742,15,21.1045,13.4789,28.1172,26.8988
4.87814,16.9913,23.1621,14.6158,0.00021726,13.7142,15,6.97501,6.61052,43.0171,31.0564,7.504,19.9323,29.4996,15,15.9819,23.3672,24.9038,15,10.5753
8.48762,15,1.27539,24.4517,8.75068,31.7107,3.69275,15,1.01437e-05,21.8324,15,11.1343,14.85,8.98497,12.9515,6.61485,14.85,9.12624,8.36338,6.26161
15,4.26653,6.96336,13.2646,15,15.8378,9.43748,17.5395,28.8912,3.64856,0,16.7488,15,19.3554,31.0463,39.4185,6.13137,10.9588,15,36.9439
8.64954,2.86978,28.6856,16.4754,1.82489,14.285,15,12.0922,1.73758,8.49407,36.5818,8.10098,35.1554,15,0.333847,29.2008,15,12.7473,9.09425,26.9593
9.01758,15,15.6928,20.5815,14.6463,7.52441,13.0023,25.4369,15,22.5046,27.3444,15,16.1165,9.41476,9.88826,23.9031,15,15,38.0635,2.84771
33.6516,27.9727,10.3861,4.68308,15,2.7146,18.6602,9.65296,2.89502,43.5449,20.9394,20.0483,17.6801,4.04084,14.85,29.7976,5.92813,18.6187,14.85,10.8113
4.31461,3.88524,30.9922,31.1192,19.1418,30.0848,15,9.6986,15,15,28.225,7.52793,13.9177,22.075,39.1387,2.36534,6.79624,15,15,24.6482
25.5336,15,9.29279,15,8.19241,15,10.5489,31.8573,14.85,44.645,21.7816,5.64499,14.85,14.85,15.5661,16.2473,7.44128,1.07259,14.85,5.90434
36.1977,17.671,1.75336,31.1805,14.4426,35.4912,17.5985,6.65584,5.66364,6.14673,28.7455,14.85,33.4891,11.9667,6.16257,15,5.19998,2.43277,15,29.3691
2.19625,12.079,6.68651,6.5985,14.8752,15,37.0074,42.9181,10.8433,28.1423,15,17.0579,23.6182,15,12.029,15,12.6918,15,32.3948,40.2808
10.3357,10.2801,15,24.2734,30.0695,30.3846,9.44953,14.8502,0.000375696,12.1432,33.3779,7.95287,20.2034,3.066,5.68602,3.02935,26.7218,8.10084,15,6.61111
15,24.409,14.9772,20.1467,13.2117,3.84763,15,2.76057,21.8562,15,34.8749,12.611,10.5646,29.3798,15,0.00141791,19.9557,8.49699,13.4694,29.2919
18.3795,23.9246,0.636937,0.10426,19.1053,15,8.51369,29.2616,20.1323,24.1079,4.54009,15,12.1505,15,0.642589,15,20.0029,9.16144,15,25.0807
