,data,Id_punktu,pm25
0,2024-01-01,1,67.2235758085042
1,2024-01-02,1,66.46885863622985
2,2024-01-03,1,13.553781555529492
3,2024-01-01,2,68.63500954620723
4,2024-01-02,2,66.7806630628439
5,2024-01-03,2,14.123368089440431
6,2024-01-01,3,66.09588854492196
7,2024-01-02,3,66.92304455055607
8,2024-01-03,3,38.61704085797607
9,2024-01-01,4,66.30429594344481
10,2024-01-02,4,67.17083268209291
11,2024-01-03,4,23.17076498860936
12,2024-01-01,5,67.7878089091075
13,2024-01-02,5,66.99626134782746
14,2024-01-03,5,26.22190142850622
